,,,,,,,SPEED DATA,,<- HRPDC TRAVEL TIME COLLECTION DATA ->,,,,INRIX DATA ->,,,,TRAVEL TIME RELIABILITY DATA,,,
JURIS NAME,MPA?,ROUTE #,FACILITY NAME,SEGMENT FROM,SEGMENT TO,DIR,1995 AM SPEED,1995 PM SPEED,2000 AM SPEED,2000 PM SPEED,2005 AM SPEED,2005 PM SPEED,2012 SLOWEST AM  SPEED,2012 HIGHEST AM  TTI,2012 SLOWEST PM  SPEED,2012 HIGHEST PM  TTI,2012 HIGHEST AM BUF INDEX,2012 HIGHEST AM PTI,2012 HIGHEST PM BUF INDEX,2012 HIGHEST PM PTI
NOR,Y,0264,I-264/BERKLEY BRIDGE,I-464,WATERSIDE/CITY HALL/TIDEWATER,EB,46.5,19.1,43.1,51.3,44.5,47.3,40,1.17,45,1.04,0.36,1.60,0.39,1.46
NOR,Y,,,,,WB,45.9,5.5,25.1,25.1,23.3,8.6,24,1.97,12,3.94,1.80,5.35,1.43,6.45
NOR,Y,0264,I-264,WATERSIDE/CITY HALL/TIDEWATER,BRAMBLETON AVE,EB,46.5,19.1,43.1,51.3,44.5,47.3,55,1.03,54,1.05,0.14,1.18,0.71,1.79
NOR,Y,,,,,WB,45.9,5.5,25.1,25.1,23.3,8.6,41,1.36,16,3.46,3.11,5.41,3.76,10.54
NOR,Y,0264,I-264,BRAMBLETON AVE,BALLENTINE BLVD,EB,55.0,40.7,55.0,55.0,55.1,56.2,61,1.00,59,1.05,0.13,1.13,0.86,1.95
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,56.0,55.3,56,1.07,37,1.68,1.01,2.15,3.04,6.61
NOR,Y,0264,I-264,BALLENTINE BLVD,MILITARY HWY,EB,55.0,51.8,55.0,55.0,56.5,55.5,61,1.01,58,1.06,0.09,1.08,0.67,1.76
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,55.7,55.5,61,1.00,61,1.00,0.35,1.34,0.31,1.32
NOR,Y,0264,I-264,MILITARY HWY,I-64,EB,55.0,55.0,55.0,55.0,57.4,54.8,61,1.01,53,1.17,0.13,1.12,1.61,2.98
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,57.7,56.7,64,0.98,62,1.00,0.09,1.06,0.07,1.07
NOR,Y,0264,I-264,I-64,NEWTOWN RD/WCL VA. BEACH,EB,55.0,55.0,55.0,55.0,56.9,52.2,63,1.01,46,1.39,0.45,1.46,1.85,3.59
NOR,Y,,,,,WB,55.0,55.0,55.0,55.0,57.4,55.4,62,1.01,55,1.13,0.21,1.22,3.07,4.58
NOR,Y,0464,I-464,CHESAPEAKE CL,SOUTH MAIN ST,NB,55.0,55.0,55.0,55.0,54.4,56.5,48,1.30,58,1.07,1.95,3.82,0.42,1.52
NOR,Y,,,,,SB,55.0,55.0,55.0,51.0,61.7,61.1,59,1.05,61,1.01,0.11,1.16,0.09,1.10
NOR,Y,0464,I-464,SOUTH MAIN ST,I-264,NB,55.0,39.0,48.9,55.0,54.4,52.0,36,1.63,51,1.13,1.66,4.26,0.59,1.81
NOR,Y,,,,,SB,55.0,55.0,51.4,49.1,59.0,55.7,48,1.21,54,1.06,0.23,1.52,0.33,1.43
NOR,Y,0564,I-564,ADMIRAL TAUSSIG BLVD,FUTURE INTERMODAL CONNECTOR,NB,21.4,55.0,24.7,52.5,22.2,56.8,34,1.71,50,1.16,1.13,3.70,0.01,1.18
NOR,Y,,,,,SB,51.3,55.0,46.9,47.7,49.4,55.2,49,1.17,48,1.20,0.02,1.18,0.37,1.67
NOR,Y,0564,I-564,FUTURE INTERMODAL CONNECTOR,INTERNATIONAL TERMINAL BLVD,NB,21.4,55.0,24.7,52.5,22.2,56.8,34,1.71,50,1.16,1.13,3.70,0.01,1.18
NOR,Y,,,,,SB,51.3,55.0,46.9,47.7,49.4,55.2,49,1.17,48,1.20,0.02,1.18,0.37,1.67
NOR,Y,0564,I-564,INTERNATIONAL TERMINAL BLVD,I-64,NB,10.0,55.0,55.0,55.0,48.4,58.7,46,1.34,50,1.23,0.88,2.57,0.05,1.29
NOR,Y,,,,,SB,53.7,55.0,40.6,49.7,51.7,56.9,50,1.20,40,1.50,0.02,1.22,1.56,3.87
NOR,Y,,INTERMODAL CONNECTOR,SECOND ST,I-564,EB,,,,,,,,,,,,,,
NOR,Y,,,,,WB,,,,,,,,,,,,,,
PORT,Y,0264,I-264,WCL PORTSMOUTH,GREENWOOD DR,EB,55.0,55.0,55.0,55.0,58.1,57.3,61,0.99,61,1.00,0.08,1.07,0.14,1.14
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,57.3,58.1,61,0.99,60,1.00,0.07,1.06,0.42,1.42
PORT,Y,0264,I-264,GREENWOOD DR,VICTORY BLVD,EB,55.0,55.0,55.0,55.0,56.7,56.1,62,0.99,62,0.99,0.09,1.09,0.16,1.15
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,57.8,56.4,62,1.00,61,1.01,0.08,1.09,0.42,1.44
PORT,Y,0264,I-264,VICTORY BLVD,PORTSMOUTH BLVD,EB,55.0,55.0,55.0,55.0,56.0,56.5,61,1.01,62,0.99,0.36,1.37,0.16,1.15
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,55.1,55.3,62,1.01,62,1.00,0.09,1.09,0.30,1.31
PORT,Y,0264,I-264,PORTSMOUTH BLVD,FREDERICK BLVD,EB,55.0,55.0,55.0,55.0,55.4,58.5,51,1.25,61,1.01,2.96,4.89,0.48,1.49
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,53.9,55.4,61,1.01,61,1.00,0.19,1.20,0.18,1.19
PORT,Y,0264,I-264,FREDERICK BLVD,FUTURE MLK FWY,EB,48.9,55.0,23.1,55.0,53.0,52.8,29,2.29,48,1.29,3.17,9.20,2.71,4.43
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,54.3,56.1,62,0.97,62,0.97,0.09,1.07,0.12,1.09
PORT,Y,0264,I-264,FUTURE MLK FWY,DES MOINES AVE,EB,48.9,55.0,23.1,55.0,53.0,52.8,29,2.29,48,1.29,3.17,9.20,2.71,4.43
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,54.3,56.1,62,0.97,62,0.97,0.09,1.07,0.12,1.09
PORT,Y,0264,I-264,DES MOINES AVE,EFFINGHAM ST,EB,48.9,55.0,9.3,55.0,49.0,23.8,15,3.57,17,3.25,2.53,6.36,1.80,5.84
PORT,Y,,,,,WB,55.0,55.0,53.4,53.4,52.2,58.9,60,1.00,60,1.00,0.11,1.13,0.20,1.21
PORT,Y,0264,I-264/DOWNTOWN TUNNEL,EFFINGHAM ST,NORFOLK CL,EB,19.4,32.2,13.4,21.5,19.5,18.5,27,1.70,33,1.42,0.73,2.79,0.53,2.09
PORT,Y,,,,,WB,40.2,16.5,22.6,49.2,30.5,26.9,38,1.30,37,1.35,0.52,1.94,0.45,1.84
PORT,Y,,MLK EXTENSION,I-264,HIGH ST,NB,,,,,,,,,,,,,,
PORT,Y,,,,,SB,,,,,,,,,,,,,,
PORT,Y,933,M L K FREEWAY,HIGH ST,LONDON BLVD,NB,33.2,30.7,32.2,31.1,32.6,30.5,,,,,,,,
PORT,Y,,,,,SB,13.4,9.5,14.1,14.7,24.6,21.6,,,,,,,,
PORT,Y,58,M L K FREEWAY,LONDON BLVD,WESTERN FREEWAY/MIDTOWN TUNNEL,NB,41.7,42.8,44.1,44.2,13.4,12.1,30,1.82,39,1.30,2.17,5.74,0.50,1.98
PORT,Y,,,,,SB,45.0,45.6,45.1,42.9,32.9,37.3,48,1.07,48,1.06,0.12,1.22,0.12,1.18
PORT,Y,164,WESTERN FWY,SUFFOLK CL,TOWNE POINT RD,EB,55.0,55.0,55.0,55.0,58.0,57.9,62,1.01,62,1.00,0.07,1.08,0.14,1.14
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,59.3,59.4,61,1.02,61,1.03,0.13,1.17,0.09,1.13
PORT,Y,164,WESTERN FWY,TOWNE POINT RD,CEDAR LN,EB,55.0,55.0,55.0,55.0,59.6,59.1,62,1.02,62,1.01,0.19,1.21,0.06,1.07
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,57.2,58.0,62,1.02,61,1.02,0.06,1.08,0.11,1.12
PORT,Y,164,WESTERN FWY,CEDAR LN,APM BLVD,EB,55.0,55.0,55.0,55.0,56.5,56.7,49,1.32,60,1.02,2.06,3.78,0.07,1.10
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,57.3,57.5,59,1.03,59,1.02,0.07,1.11,0.18,1.21
PORT,Y,164,WESTERN FWY,APM BLVD,WEST NORFOLK RD,EB,55.0,55.0,55.0,55.0,56.5,56.7,49,1.32,60,1.02,2.06,3.78,0.07,1.10
PORT,Y,,,,,WB,55.0,55.0,55.0,55.0,57.3,57.5,59,1.03,59,1.02,0.07,1.11,0.18,1.21
PORT,Y,164,WESTERN FWY,WEST NORFOLK RD,MLK FREEWAY/MIDTOWN TUNNEL,EB,x,x,x,x,26.7,40.9,40,1.40,52,1.03,2.17,4.36,0.34,1.38
PORT,Y,,,,,WB,x,x,x,x,37.9,48.7,54,1.02,54,1.02,0.09,1.12,0.25,1.27
SH,N,460,COMMONWEALTH CONNECTOR (RTE 460),SUSSEX CL,ISLE OF WIGHT CL,EB,,,,,,,,,,,,,,
SH,N,,,,,WB,,,,,,,,,,,,,,
SUF,Y,0664,I-664,CHESAPEAKE CL,BRIDGE RD,EB,55.0,55.0,52.5,55.0,55.8,62.2,63,1.00,64,0.99,1.16,2.16,0.45,1.44
SUF,Y,,,,,WB,55.0,55.0,50.9,55.0,60.1,61.8,64,0.99,58,1.11,0.39,1.39,1.24,2.39
SUF,Y,0664,I-664,BRIDGE RD,WESTERN FWY,EB,55.0,55.0,40.0,55.0,57.8,63.4,63,1.00,64,0.99,1.16,2.16,0.45,1.44
SUF,Y,,,,,WB,55.0,55.0,48.5,55.0,55.3,56.9,64,0.99,58,1.11,0.39,1.39,1.24,2.39
SUF,Y,0664,I-664,WESTERN FWY,COLLEGE DR,EB,55.0,55.0,55.0,55.0,56.3,61.7,64,0.99,64,0.99,0.64,1.63,0.43,1.41
SUF,Y,,,,,WB,55.0,55.0,55.0,55.0,56.6,59.3,65,0.99,64,1.00,0.21,1.20,0.50,1.49
SUF,Y,0664,I-664/MMMBT,COLLEGE DR,NEWPORT NEWS CL,EB,55.0,55.0,54.2,54.3,56.0,39.9,61,0.98,62,0.97,0.16,1.14,0.11,1.08
SUF,Y,,,,,WB,55.0,55.0,54.2,54.2,56.5,57.0,63,0.98,57,1.07,0.10,1.06,0.35,1.38
SUF,Y,58,ROUTE 13/58/460,SUFFOLK BYPASS,CHESAPEAKE CL,EB,54.7,54.3,55.0,55.0,58.3,54.6,61,1.01,62,1.00,0.29,1.30,0.19,1.19
SUF,Y,,,,,WB,53.9,54.7,55.0,55.0,56.0,56.3,63,1.00,63,0.99,0.09,1.08,0.29,1.26
SUF,Y,460,COMMONWEALTH CONNECTOR (RTE 460),ISLE OF WIGHT CL,SUFFOLK BYPASS,EB,,,,,,,,,,,,,,
SUF,Y,,,,,WB,,,,,,,,,,,,,,
SUF,Y,13,SOUTHWEST SUFFOLK BYPASS,HOLLAND RD,CAROLINA RD,NB,x,x,x,x,x,x,61,1.02,60,1.03,0.05,1.50,0.04,1.07
SUF,Y,,,,,SB,x,x,x,x,x,x,58,1.06,59,1.03,0.05,1.11,0.05,1.70
SUF,Y,58,SUFFOLK BYPASS,HOLLAND RD,PITCHKETTLE RD,EB,49.7,52.3,52.8,48.7,56.7,51.9,62,1.00,62,1.00,0.05,1.04,0.05,1.05
SUF,Y,,,,,WB,52.4,50.2,45.7,43.1,48.5,56.7,57,1.01,55,1.06,0.13,1.14,0.36,1.41
SUF,Y,58,SUFFOLK BYPASS,PITCHKETTLE RD,PRUDEN BLVD,EB,55.0,55.0,55.0,55.0,61.4,57.9,63,0.97,63,0.98,0.06,1.03,0.07,1.05
SUF,Y,,,,,WB,55.0,55.0,55.0,55.0,60.6,62.2,63,1.00,64,0.98,0.06,1.04,0.05,1.03
SUF,Y,58,SUFFOLK BYPASS,PRUDEN BLVD,GODWIN BLVD,EB,55.0,55.0,55.0,55.0,59.0,55.9,63,0.98,62,0.98,0.11,1.08,0.19,1.18
SUF,Y,,,,,WB,55.0,55.0,55.0,55.0,58.7,61.4,58,1.01,59,1.00,0.07,1.07,0.09,1.09
SUF,Y,58,SUFFOLK BYPASS,GODWIN BLVD,WILROY RD,EB,55.0,55.0,55.0,55.0,61.8,57.5,64,0.98,64,0.97,0.27,1.23,0.06,1.02
SUF,Y,,,,,WB,55.0,55.0,55.0,55.0,59.4,61.2,63,0.98,63,0.99,0.08,1.06,0.21,1.19
SUF,Y,58,SUFFOLK BYPASS,WILROY RD,ROUTES 13/58/460,EB,55.0,55.0,55.0,55.0,58.6,56.4,64,0.98,64,0.97,0.25,1.20,0.06,1.03
SUF,Y,,,,,WB,55.0,55.0,55.0,55.0,55.0,61.8,64,0.98,64,0.97,0.05,1.02,0.30,1.26
SUF,Y,164,WESTERN FWY,BRIDGE RD,I-664,EB,55.0,55.0,55.0,55.0,57.2,55.0,57,1.01,58,1.00,0.13,1.12,0.10,1.08
SUF,Y,,,,,WB,55.0,55.0,51.5,55.0,59.8,57.1,57,0.99,57,1.00,0.07,1.06,0.19,1.18
SUF,Y,164,WESTERN FWY,I-664,COLLEGE DR,EB,55.0,55.0,53.4,55.0,56.6,58.9,60,1.03,60,1.02,0.22,1.26,0.22,1.24
SUF,Y,,,,,WB,55.0,55.0,55.0,55.0,59.1,59.6,57,0.99,57,1.00,0.07,1.06,0.19,1.18
SUF,Y,164,WESTERN FWY,COLLEGE DR,PORTSMOUTH CL,EB,55.0,55.0,55.0,55.0,58.0,57.9,62,1.01,62,1.00,0.07,1.08,0.14,1.14
SUF,Y,,,,,WB,55.0,55.0,55.0,55.0,59.3,59.4,61,1.02,61,1.03,0.13,1.17,0.09,1.13
VB,Y,0264,I-264,NEWTOWN RD/ECL NORFOLK,WITCHDUCK RD,EB,55.0,51.8,55.0,49.9,55.9,52.2,61,1.01,44,1.44,0.21,1.22,1.30,2.59
VB,Y,,,,,WB,55.0,55.0,53.2,55.0,56.4,55.0,63,1.00,59,1.08,0.17,1.17,1.90,3.08
VB,Y,0264,I-264,WITCHDUCK RD,INDEPENDENCE BLVD,EB,55.0,55.0,55.0,55.0,58.4,53.8,62,1.00,59,1.07,0.11,1.11,0.45,1.55
VB,Y,,,,,WB,55.0,55.0,55.0,55.0,57.4,49.3,59,1.06,59,1.06,0.52,1.56,1.17,2.28
VB,Y,0264,I-264,INDEPENDENCE BLVD,ROSEMONT RD,EB,48.5,36.7,55.0,55.0,56.6,56.5,62,1.00,63,0.99,0.06,1.04,0.23,1.22
VB,Y,,,,,WB,46.1,36.9,55.0,55.0,58.0,54.5,58,1.09,62,1.00,1.33,2.39,0.58,1.58
VB,Y,0264,I-264,ROSEMONT RD,LYNNHAVEN PKWY,EB,55.0,55.0,55.0,55.0,58.0,57.2,62,1.01,63,0.99,0.05,1.04,0.11,1.11
VB,Y,,,,,WB,55.0,55.0,55.0,55.0,57.6,56.5,61,1.03,63,0.99,1.28,2.28,0.22,1.22
VB,Y,0264,I-264,LYNNHAVEN PKWY,LONDON BRIDGE RD,EB,55.0,55.0,55.0,55.0,58.7,56.5,61,1.03,63,0.99,0.06,1.05,0.14,1.14
VB,Y,,,,,WB,55.0,55.0,55.0,55.0,57.2,55.3,62,0.99,62,0.99,0.22,1.21,0.43,1.44
VB,Y,0264,I-264,LONDON BRIDGE RD,LASKIN RD,EB,55.0,55.0,55.0,55.0,58.7,56.5,61,1.03,63,0.99,0.06,1.05,0.14,1.14
VB,Y,,,,,WB,55.0,55.0,55.0,55.0,57.2,55.3,62,0.99,62,0.99,0.22,1.21,0.43,1.44
VB,Y,0264,I-264,LASKIN RD,FIRST COLONIAL RD,EB,55.0,55.0,55.0,55.0,57.2,56.5,61,1.03,63,0.99,0.05,1.06,0.06,1.05
VB,Y,,,,,WB,55.0,55.0,55.0,55.0,58.4,56.9,63,0.99,63,0.99,0.06,1.04,0.34,1.33
VB,Y,0264,I-264,FIRST COLONIAL RD,S.E. PARKWAY CORRIDOR,EB,55.0,55.0,55.0,55.0,57.6,56.8,61,1.02,61,1.01,0.05,1.06,0.07,1.09
VB,Y,,,,,WB,55.0,55.0,55.0,55.0,56.1,55.3,61,1.00,61,1.01,0.06,1.05,0.29,1.30
VB,Y,0264,I-264,S.E. PARKWAY CORRIDOR,BIRDNECK RD,EB,55.0,55.0,55.0,55.0,57.6,56.8,61,1.02,61,1.01,0.05,1.06,0.07,1.09
VB,Y,,,,,WB,55.0,55.0,55.0,55.0,56.1,55.3,61,1.00,61,1.01,0.06,1.05,0.29,1.30
VB,Y,0264,I-264,BIRDNECK RD,PARKS AVE,EB,32.2,30.5,46.8,45.0,49.4,48.3,57,1.05,57,1.06,0.09,1.15,0.09,1.16
VB,Y,,,,,WB,45.4,53.4,50.9,42.9,46.5,46.2,53,0.99,52,1.01,0.11,1.09,0.12,1.12
VB,Y,0064,I-64,NORFOLK CL,INDIAN RIVER RD,EB,55.0,51.8,55.0,27.5,57.8,40.5,61,0.98,49,1.23,0.05,1.03,0.87,2.30
VB,Y,,,,,WB,49.0,55.0,48.5,55.0,52.9,55.6,49,1.27,50,1.24,0.83,2.28,1.73,3.29
VB,Y,0064,I-64,INDIAN RIVER RD,CITY LINE RD/CHESEAPEAKE CL,EB,55.0,55.0,55.0,39.6,57.9,55.8,62,0.99,61,1.00,0.07,1.05,0.59,1.59
VB,Y,,,,,WB,52.1,49.5,55.0,55.0,56.4,56.5,57,1.08,61,1.01,0.86,1.94,0.43,1.43
VB,Y,973,SE EXPWY,WCL VA BEACH,INDIAN RIVER RD,EB,,,,,,,,,,,,,,
VB,Y,,,,,WB,,,,,,,,,,,,,,
VB,Y,973,SE EXPWY,INDIAN RIVER RD,PRINCESS ANNE RD,EB,,,,,,,,,,,,,,
VB,Y,,,,,WB,,,,,,,,,,,,,,
VB,Y,973,SE EXPWY,PRINCESS ANNE RD,DAM NECK RD,EB,,,,,,,,,,,,,,
VB,Y,,,,,WB,,,,,,,,,,,,,,
VB,Y,973,SE EXPWY,DAM NECK RD,OCEANA RD,EB,,,,,,,,,,,,,,
VB,Y,,,,,WB,,,,,,,,,,,,,,
VB,Y,973,SE EXPWY,OCEANA RD,I-264,EB,,,,,,,,,,,,,,
VB,Y,,,,,WB,,,,,,,,,,,,,,
YC,Y,0064,I-64,JAMES CITY CL,RTE 199/646,EB,65.0,65.0,65.0,65.0,64.7,67.5,68,0.95,69,0.94,0.32,1.24,0.06,1.01
YC,Y,,,,,WB,65.0,65.0,65.0,65.0,69.4,62.9,67,0.96,69,0.95,0.07,1.02,0.07,1.02
YC,Y,0064,I-64,RTE 199/646,RTE 143,EB,65.0,65.0,65.0,65.0,63.6,66.7,69,0.95,69,0.94,0.06,1.00,0.08,1.01
YC,Y,,,,,WB,65.0,65.0,65.0,65.0,69.5,61.5,67,0.97,68,0.95,0.06,1.01,0.33,1.27
YC,Y,0064,I-64,RTE 143,RTE 199 (EAST OF WILLIAMSBURG),EB,65.0,65.0,65.0,61.2,65.2,67.4,68,0.96,68,0.95,0.21,1.14,0.18,1.12
YC,Y,,,,,WB,65.0,65.0,65.0,65.0,66.4,65.9,67,0.97,69,0.95,0.06,1.01,0.14,1.09
YC,Y,0064,I-64,RTE 199 (EAST OF WILLIAMSBURG),GROVE CONNECTOR,EB,65.0,65.0,63.3,65.0,66.8,62.7,67,0.97,66,0.98,0.25,1.20,0.58,1.54
YC,Y,,,,,WB,65.0,65.0,65.0,56.6,59.7,63.7,65,0.98,66,0.97,0.12,1.08,0.09,1.07
YC,Y,0064,I-64,GROVE CONNECTOR,JAMES CITY CL,EB,61.0,65.0,63.4,59.6,65.3,65.4,66,0.99,60,1.13,1.00,1.96,2.71,3.92
YC,Y,,,,,WB,62.2,63.3,62.6,62.8,62.3,64.7,67,0.97,66,1.00,0.29,1.25,0.34,1.30
YC,Y,199,RTE 199,JCC LINE (WESTSIDE),MOORETOWN RD,EB,,,55.0,55.0,60.5,59.8,56,1.07,56,1.07,0.07,1.14,0.08,1.14
YC,Y,,,,,WB,,,52.7,51.1,61.2,61.0,58,1.05,57,1.06,0.07,1.11,0.10,1.15
YC,Y,199,RTE 199,MOORETOWN RD,I-64,EB,,,53.6,53.9,60.1,58.2,57,1.02,57,1.01,0.07,1.09,0.08,1.08
YC,Y,,,,,WB,,,53.3,50.3,58.7,59.2,55,1.03,56,1.01,0.09,1.11,0.12,1.13
