,,,,,,,SPEED DATA,,<- HRPDC TRAVEL TIME COLLECTION DATA ->,,,,INRIX DATA ->,,,,TRAVEL TIME RELIABILITY DATA,,,
JURIS NAME,MPA?,ROUTE #,FACILITY NAME,SEGMENT FROM,SEGMENT TO,DIR,1995 AM SPEED,1995 PM SPEED,2000 AM SPEED,2000 PM SPEED,2005 AM SPEED,2005 PM SPEED,2012 SLOWEST AM  SPEED,2012 HIGHEST AM  TTI,2012 SLOWEST PM  SPEED,2012 HIGHEST PM  TTI,2012 HIGHEST AM BUF INDEX,2012 HIGHEST AM PTI,2012 HIGHEST PM BUF INDEX,2012 HIGHEST PM PTI
CHES,Y,168,CHESAPEAKE EXPWY,HILLCREST PKWY,BATTLEFIELD BLVD (S OF GREAT BRIDGE),NB,,,55.0,55.0,54.8,54.6,61,1.04,60,1.05,0.05,1.10,0.04,1.09
CHES,Y,,,,,SB,,,55.0,55.0,54.3,55.9,61,1.03,61,1.02,0.04,1.07,0.05,1.06
CHES,Y,168,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (S OF GREAT BRIDGE),HANBURY RD,NB,55.0,55.0,55.0,55.0,54.8,54.6,61,1.04,60,1.05,0.05,1.10,0.04,1.09
CHES,Y,,,,,SB,55.0,55.0,55.0,55.0,54.3,55.9,61,1.03,61,1.02,0.04,1.07,0.05,1.06
CHES,Y,168,CHESAPEAKE EXPWY,HANBURY RD,MT PLEASANT RD,NB,55.0,55.0,55.0,55.0,55.6,56.2,58,1.09,61,1.03,0.71,1.85,0.05,1.07
CHES,Y,,,,,SB,55.0,55.0,55.0,47.8,54.2,55.8,61,1.04,63,1.02,0.04,1.08,0.07,1.08
CHES,Y,168,CHESAPEAKE EXPWY,MT PLEASANT RD,BATTLEFIELD BLVD (N OF GREAT BRIDGE),NB,55.0,53.1,55.0,55.0,56.3,55.3,57,1.09,60,1.03,0.46,1.60,0.08,1.11
CHES,Y,,,,,SB,55.0,55.0,55.0,51.7,55.8,53.5,60,1.02,57,1.07,0.05,1.07,0.36,1.46
CHES,Y,168,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (N OF GREAT BRIDGE),DOMINION BLVD,NB,x,x,55.0,55.0,37.7,56.5,48,1.29,50,1.24,0.52,1.97,0.19,1.48
CHES,Y,,,,,SB,x,x,55.0,55.0,54.2,55.4,52,1.21,49,1.28,0.04,1.25,0.77,2.26
CHES,Y,168,CHESAPEAKE EXPWY,DOMINION BLVD,I-64,NB,55.0,55.0,55.0,55.0,37.7,56.5,48,1.29,50,1.24,0.52,1.97,0.19,1.48
CHES,Y,,,,,SB,55.0,55.0,55.0,55.0,54.2,55.4,52,1.21,49,1.28,0.04,1.25,0.77,2.26
CHES,Y,58,ROUTE 13/58/460,SUFFOLK CL,I-664,EB,54.7,54.3,55.0,55.0,58.3,54.6,61,1.01,62,1.00,0.29,1.30,0.19,1.19
CHES,Y,,,,,WB,53.9,54.7,55.0,55.0,56.0,56.3,63,1.00,63,0.99,0.09,1.08,0.29,1.26
CHES,Y,961,SE EXPWY,BATTLEFIELD BLVD,CENTERVILLE TURNPIKE,EB,,,,,,,,,,,,,,
CHES,Y,,,,,WB,,,,,,,,,,,,,,
CHES,Y,961,SE EXPWY,CENTERVILLE TNPK,VA BEACH CL,EB,,,,,,,,,,,,,,
CHES,Y,,,,,WB,,,,,,,,,,,,,,
HAM,Y,0064,I-64,NEWPORT NEWS CL,HRC PARKWAY,EB,55.0,55.0,55.0,55.0,62.0,60.6,65,0.99,65,0.99,0.29,1.28,0.23,1.20
HAM,Y,,,,,WB,24.9,19.2,55.0,52.2,60.2,55.3,64,0.98,62,1.01,0.21,1.19,0.39,1.41
HAM,Y,0064,I-64,HRC PARKWAY,MAGRUDER BLVD,EB,55.0,55.0,55.0,55.0,54.0,55.9,66,0.98,66,0.98,0.07,1.06,0.07,1.05
