Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”,Name: “Table 1 of 1 on page 10 of 138”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,5
,,Coverage1,Source2,Year 1970,Year 1980,Year 1990,Year 2000,,Year 2010
Households,,,,,,,,,
Households,,HRTPO13,Full,"304,104","392,975","502,568","566,825",,"613,008"
Persons per Household,Persons per Household,HRTPO13,Full,3.27,2.85,2.70,2.60,,2.55
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,HR11,Sample,"348,196","479,476","633,414","697,158",,"798,516"
,Armed Forces,HR11,Sample,"108,752","94,367","117,026","91,340",,"76,595"
,Not in Labor Force,HR11,Sample,"274,619","299,729","312,301","371,029",,"395,549"
,,,,"731,567","873,572","1,062,741","1,159,527",,"1,270,660"
,"Civilian Labor Force, % of labor force",HR11,Sample,76%,84%,84%,88%,,91%
,"Armed Forces, % of labor force",HR11,Sample,24%,16%,16%,12%,,9%
,,,,100%,100%,100%,100%,,100%
,"In Labor Force, % of pop. age 16+",HR11,Sample,62%,66%,71%,68%,,69%
,"Not in Labor Force, % of pop. age 16+",HR11,Sample,38%,34%,29%,32%,,31%
,,,,100%,100%,100%,100%,,100%
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,HR11,Sample,"53,859","46,029","49,234","49,042",,"38,095"
,Occ'd Housing Units with Vehicles,HR11,Sample,"247,845","341,345","446,097","509,998",,"555,121"
,,,,"301,704","387,374","495,331","559,040",,"593,216"
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",HR11,Sample,18%,12%,10%,9%,,6%
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",HR11,Sample,82%,88%,90%,91%,,94%
,,,,100%,100%,100%,100%,,100%
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
