Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”,Name: “Table 1 of 1 on page 118 of 138”
Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118,Table: 118
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,113
"Transportation Related Census Data, Surry, 1970-2010","Transportation Related Census Data, Surry, 1970-2010","Transportation Related Census Data, Surry, 1970-2010","Transportation Related Census Data, Surry, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,Surry,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"5,882","6,046","6,145","6,829","7,058",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,0.3%,0.2%,1.1%,0.3%,,
In Households,,Full,"5,848","6,046","6,131","6,829","7,058",,
In Group Quarters,,Full,34,0,14,0,0,,
,,,"5,882","6,046","6,145","6,829","7,058",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,0,0,8,0,0,,
,In Other Institutional Facilities,Mixed,0,0,0,0,0,,
,In College/University Student Housing,Mixed,0,0,0,0,0,,
,In Military Quarters,Mixed,0,0,0,0,0,,
,In Other Noninstitutional Facilities,Mixed,76,0,6,0,0,,
,Total 2,,76,0,14,0,0,,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,0,0,0,,
,In Other Institutional Facilities,Full,n.a.,n.a.,0,0,0,,
,,,,,0,0,0,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"2,286","1,822","1,621","1,721","1,487",,
Ages 18 thru 64,,Full,"2,966","3,421","3,618","4,147","4,450",,
Ages 65 thru 74,,Full,408,528,548,529,661,,
Age 75 and Over,,Full,222,275,358,432,460,,
,,,"5,882","6,046","6,145","6,829","7,058",,
Ages 0 thru 17,,Full,39%,30%,26%,25%,21%,,
Ages 18 thru 64,,Full,50%,57%,59%,61%,63%,,
Ages 65 thru 74,,Full,7%,9%,9%,8%,9%,,
Age 75 and Over,,Full,4%,5%,6%,6%,7%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
