Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”,Name: “Table 1 of 1 on page 53 of 138”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,48
"Transportation Related Census Data, Currituck, 1970-2010","Transportation Related Census Data, Currituck, 1970-2010","Transportation Related Census Data, Currituck, 1970-2010","Transportation Related Census Data, Currituck, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,Currituck,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"6,976","11,089","13,736","18,190","23,547",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,4.7%,2.2%,2.8%,2.6%,,
In Households,,Full,"6,863","10,913","13,486","18,027","23,412",,
In Group Quarters,,Full,113,176,250,163,135,,
,,,"6,976","11,089","13,736","18,190","23,547",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,0,0,84,91,88,,
,In Other Institutional Facilities,Mixed,101,175,133,72,38,,
,In College/University Student Housing,Mixed,0,0,0,0,0,,
,In Military Quarters,Mixed,0,0,0,0,0,,
,In Other Noninstitutional Facilities,Mixed,13,0,33,0,9,,
,Total 2,,114,175,250,163,135,,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,133,72,38,,
,In Other Institutional Facilities,Full,n.a.,n.a.,0,0,0,,
,,,,,133,72,38,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"2,401","3,174","3,494","4,607","5,591",,
Ages 18 thru 64,,Full,"3,750","6,612","8,533","11,397","14,915",,
Ages 65 thru 74,,Full,536,879,"1,066","1,310","1,899",,
Age 75 and Over,,Full,289,424,643,876,"1,142",,
,,,"6,976","11,089","13,736","18,190","23,547",,
Ages 0 thru 17,,Full,34%,29%,25%,25%,24%,,
Ages 18 thru 64,,Full,54%,60%,62%,63%,63%,,
Ages 65 thru 74,,Full,8%,8%,8%,7%,8%,,
Age 75 and Over,,Full,4%,4%,5%,5%,5%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
