Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”,Name: “Table 1 of 1 on page 64 of 138”
Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64,Table: 64
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,59
,Gloucester (whole county),,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"4,430","7,146","10,966","13,127","14,293",,
Persons per Household,Persons per Household,Full,3.16,2.80,2.72,2.62,2.55,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"5,436","8,953","14,716","17,394","18,978",,
,Armed Forces,Sample,35,130,508,485,592,,
,Not in Labor Force,Sample,"4,315","6,296","7,515","8,870","10,311",,
,,,"9,786","15,379","22,739","26,749","29,881",,
,"Civilian Labor Force, % of labor force",Sample,99%,99%,97%,97%,97%,,
,"Armed Forces, % of labor force",Sample,1%,1%,3%,3%,3%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,56%,59%,67%,67%,65%,,
,"Not in Labor Force, % of pop. age 16+",Sample,44%,41%,33%,33%,35%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,810,561,749,481,420,,
,Occ'd Housing Units with Vehicles,Sample,"3,620","6,585","10,217","12,646","13,391",,
,,,"4,430","7,146","10,966","13,127","13,811",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,18%,8%,7%,4%,3%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,82%,92%,93%,96%,97%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
