Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”,Name: “Table 1 of 1 on page 128 of 138”
Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128,Table: 128
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,123
"Transportation Related Census Data, Williamsburg, 1970-2010","Transportation Related Census Data, Williamsburg, 1970-2010","Transportation Related Census Data, Williamsburg, 1970-2010","Transportation Related Census Data, Williamsburg, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,Williamsburg,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"9,069","9,870","11,530","11,998","14,068",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,0.8%,1.6%,0.4%,1.6%,,
In Households,,Full,"5,918","5,987","7,304","7,500","9,897",,
In Group Quarters,,Full,"3,151","3,883","4,226","4,498","4,171",,
,,,"9,069","9,870","11,530","11,998","14,068",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,0,185,153,136,116,,
,In Other Institutional Facilities,Mixed,21,0,56,0,0,,
,In College/University Student Housing,Mixed,"2,889","3,748","3,994","4,354","4,051",,
,In Military Quarters,Mixed,0,0,0,0,0,,
,In Other Noninstitutional Facilities,Mixed,223,6,23,8,4,,
,Total 2,,"3,133","3,939","4,226","4,498","4,171",,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,53,0,0,,
,In Other Institutional Facilities,Full,n.a.,n.a.,3,0,0,,
,,,,,56,0,0,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"1,442",893,"1,058","1,148","1,404",,
Ages 18 thru 64,,Full,"6,989","7,952","9,100","9,446","10,785",,
Ages 65 thru 74,,Full,403,608,744,713,"1,071",,
Age 75 and Over,,Full,235,417,628,691,808,,
,,,"9,069","9,870","11,530","11,998","14,068",,
Ages 0 thru 17,,Full,16%,9%,9%,10%,10%,,
Ages 18 thru 64,,Full,77%,81%,79%,79%,77%,,
Ages 65 thru 74,,Full,4%,6%,6%,6%,8%,,
Age 75 and Over,,Full,3%,4%,5%,6%,6%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
