Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”,Name: “Table 1 of 1 on page 88 of 138”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,83
"Transportation Related Census Data, Newport News, 1970-2010","Transportation Related Census Data, Newport News, 1970-2010","Transportation Related Census Data, Newport News, 1970-2010","Transportation Related Census Data, Newport News, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,"Note that Newport News 2000 population was revised to 180,697","Note that Newport News 2000 population was revised to 180,697","Note that Newport News 2000 population was revised to 180,697","Note that Newport News 2000 population was revised to 180,697","Note that Newport News 2000 population was revised to 180,697",
Source file: master.xlsx,,,,,,following the 2000 Census..,following the 2000 Census..,following the 2000 Census..,
,Newport News,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"138,177","144,903","170,045","180,150","180,719",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,0.5%,1.6%,0.6%,0.0%,,
In Households,,Full,"128,259","140,077","165,455","174,317","173,220",,
In Group Quarters,,Full,"9,918","4,826","4,590","5,833","7,499",,
,,,"138,177","144,903","170,045","180,150","180,719",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,344,630,921,"1,122",633,,
,In Other Institutional Facilities,Mixed,492,615,672,942,922,,
,In College/University Student Housing,Mixed,12,0,40,676,"2,790",,
,In Military Quarters,Mixed,"8,591","3,246","2,649","2,523","2,634",,
,In Other Noninstitutional Facilities,Mixed,393,409,308,570,520,,
,Total 2,,"9,832","4,900","4,590","5,833","7,499",,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,394,757,786,,
,In Other Institutional Facilities,Full,n.a.,n.a.,278,185,136,,
,,,,,672,942,922,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"48,308","41,223","46,666","49,525","43,913",,
Ages 18 thru 64,,Full,"82,467","92,308","107,575","112,472","117,587",,
Ages 65 thru 74,,Full,"4,748","7,298","10,009","9,758","10,339",,
Age 75 and Over,,Full,"2,654","4,074","5,795","8,395","8,880",,
,,,"138,177","144,903","170,045","180,150","180,719",,
Ages 0 thru 17,,Full,35%,28%,27%,27%,24%,,
Ages 18 thru 64,,Full,60%,64%,63%,62%,65%,,
Ages 65 thru 74,,Full,3%,5%,6%,5%,6%,,
Age 75 and Over,,Full,2%,3%,3%,5%,5%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
