Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”,Name: “Table 1 of 1 on page 83 of 138”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,78
"Transportation Related Census Data, Mathews, 1970-2010","Transportation Related Census Data, Mathews, 1970-2010","Transportation Related Census Data, Mathews, 1970-2010","Transportation Related Census Data, Mathews, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,Mathews,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"7,168","7,995","8,348","9,207","8,978",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,1.1%,0.4%,1.0%,-0.3%,,
In Households,,Full,"7,044","7,882","8,280","9,138","8,884",,
In Group Quarters,,Full,124,113,68,69,94,,
,,,"7,168","7,995","8,348","9,207","8,978",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,108,93,57,60,60,,
,In Other Institutional Facilities,Mixed,0,0,0,0,0,,
,In College/University Student Housing,Mixed,0,0,0,0,0,,
,In Military Quarters,Mixed,19,22,11,6,8,,
,In Other Noninstitutional Facilities,Mixed,0,0,0,3,26,,
,Total 2,,127,115,68,69,94,,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,0,0,0,,
,In Other Institutional Facilities,Full,n.a.,n.a.,0,0,0,,
,,,,,0,0,0,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"1,947","1,803","1,689","1,831","1,634",,
Ages 18 thru 64,,Full,"3,784","4,436","4,768","5,383","5,054",,
Ages 65 thru 74,,Full,862,"1,033","1,026","1,050","1,316",,
Age 75 and Over,,Full,575,723,865,943,974,,
,,,"7,168","7,995","8,348","9,207","8,978",,
Ages 0 thru 17,,Full,27%,23%,20%,20%,18%,,
Ages 18 thru 64,,Full,53%,55%,57%,58%,56%,,
Ages 65 thru 74,,Full,12%,13%,12%,11%,15%,,
Age 75 and Over,,Full,8%,9%,10%,10%,11%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
